,Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
0,1,Finland,7.632,1.305,1.592,0.874,0.681,0.202,0.393
1,2,Norway,7.594,1.456,1.582,0.861,0.686,0.286,0.34
2,3,Denmark,7.555,1.351,1.59,0.868,0.683,0.284,0.408
3,4,Iceland,7.495,1.343,1.644,0.914,0.677,0.353,0.138
4,5,Switzerland,7.487,1.42,1.549,0.927,0.66,0.256,0.357
5,6,Netherlands,7.441,1.361,1.488,0.878,0.638,0.333,0.295
6,7,Canada,7.328,1.33,1.532,0.896,0.653,0.321,0.291
7,8,New Zealand,7.324,1.268,1.601,0.876,0.669,0.365,0.389
8,9,Sweden,7.314,1.355,1.501,0.913,0.659,0.285,0.383
9,10,Australia,7.272,1.34,1.573,0.91,0.647,0.361,0.302
10,11,United Kingdom,7.19,1.244,1.433,0.888,0.464,0.262,0.082
11,12,Austria,7.139,1.341,1.504,0.891,0.617,0.242,0.224
12,13,Costa Rica,7.072,1.01,1.459,0.817,0.632,0.143,0.101
13,14,Ireland,6.977,1.448,1.583,0.876,0.614,0.307,0.306
14,15,Germany,6.965,1.34,1.474,0.861,0.586,0.273,0.28
15,16,Belgium,6.927,1.324,1.483,0.894,0.583,0.188,0.24
16,17,Luxembourg,6.91,1.576,1.52,0.896,0.632,0.196,0.321
17,18,United States,6.886,1.398,1.471,0.819,0.547,0.291,0.133
18,19,Israel,6.814,1.301,1.559,0.883,0.533,0.354,0.272
19,20,United Arab Emirates,6.774,2.096,0.776,0.67,0.284,0.186,
20,21,Czech Republic,6.711,1.233,1.489,0.854,0.543,0.064,0.034
21,22,Malta,6.627,1.27,1.525,0.884,0.645,0.376,0.142
22,23,France,6.489,1.293,1.466,0.908,0.52,0.098,0.176
23,24,Mexico,6.488,1.038,1.252,0.761,0.479,0.069,0.095
24,25,Chile,6.476,1.131,1.331,0.808,0.431,0.197,0.061
25,26,Taiwan,6.441,1.365,1.436,0.857,0.418,0.151,0.078
26,27,Panama,6.43,1.112,1.438,0.759,0.597,0.125,0.063
27,28,Brazil,6.419,0.986,1.474,0.675,0.493,0.11,0.088
28,29,Argentina,6.388,1.073,1.468,0.744,0.57,0.062,0.054
29,30,Guatemala,6.382,0.781,1.268,0.608,0.604,0.179,0.071
30,31,Uruguay,6.379,1.093,1.459,0.771,0.625,0.13,0.155
31,32,Qatar,6.374,1.649,1.303,0.748,0.654,0.256,0.171
32,33,Saudi Arabia,6.371,1.379,1.331,0.633,0.509,0.098,0.127
33,34,Singapore,6.343,1.529,1.451,1.008,0.631,0.261,0.457
34,35,Malaysia,6.322,1.161,1.258,0.669,0.356,0.311,0.059
35,36,Spain,6.31,1.251,1.538,0.965,0.449,0.142,0.074
36,37,Colombia,6.26,0.96,1.439,0.635,0.531,0.099,0.039
37,38,Trinidad & Tobago,6.192,1.223,1.492,0.564,0.575,0.171,0.019
38,39,Slovakia,6.173,1.21,1.537,0.776,0.354,0.118,0.014
39,40,El Salvador,6.167,0.806,1.231,0.639,0.461,0.065,0.082
40,41,Nicaragua,6.141,0.668,1.319,0.7,0.527,0.208,0.128
41,42,Poland,6.123,1.176,1.448,0.781,0.546,0.108,0.064
42,43,Bahrain,6.105,1.338,1.366,0.698,0.594,0.243,0.123
43,44,Uzbekistan,6.096,0.719,1.584,0.605,0.724,0.328,0.259
44,45,Kuwait,6.083,1.474,1.301,0.675,0.554,0.167,0.106
45,46,Thailand,6.072,1.016,1.417,0.707,0.637,0.364,0.029
46,47,Italy,6.0,1.264,1.501,0.946,0.281,0.137,0.028
47,48,Ecuador,5.973,0.889,1.33,0.736,0.556,0.114,0.12
48,49,Belize,5.956,0.807,1.101,0.474,0.593,0.183,0.089
49,50,Lithuania,5.952,1.197,1.527,0.716,0.35,0.026,0.006
50,51,Slovenia,5.948,1.219,1.506,0.856,0.633,0.16,0.051
51,52,Romania,5.945,1.116,1.219,0.726,0.528,0.088,0.001
