,Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
104,105,Laos,4.796,0.764,1.03,0.551,0.547,0.266,0.164
105,106,South Africa,4.722,0.96,1.351,0.469,0.389,0.13,0.055
106,107,Albania,4.719,0.947,0.848,0.874,0.383,0.178,0.027
107,108,Venezuela,4.707,0.96,1.427,0.805,0.154,0.064,0.047
108,109,Cambodia,4.7,0.574,1.122,0.637,0.609,0.232,0.062
109,110,Palestinian Territories,4.696,0.657,1.247,0.672,0.225,0.103,0.066
110,111,Senegal,4.681,0.45,1.134,0.571,0.292,0.153,0.072
111,112,Somalia,4.668,0.0,0.698,0.268,0.559,0.243,0.27
112,113,Namibia,4.639,0.879,1.313,0.477,0.401,0.07,0.056
113,114,Niger,4.628,0.138,0.774,0.366,0.318,0.188,0.102
114,115,Burkina Faso,4.587,0.331,1.056,0.38,0.255,0.177,0.113
115,116,Armenia,4.559,0.85,1.055,0.815,0.283,0.095,0.064
116,117,Iran,4.548,1.1,0.842,0.785,0.305,0.27,0.125
117,118,Guinea,4.534,0.38,0.829,0.375,0.332,0.207,0.086
118,119,Georgia,4.519,0.886,0.666,0.752,0.346,0.043,0.164
119,120,Gambia,4.516,0.308,0.939,0.428,0.382,0.269,0.167
120,121,Kenya,4.509,0.512,0.983,0.581,0.431,0.372,0.053
121,122,Mauritania,4.49,0.57,1.167,0.489,0.066,0.106,0.088
122,123,Mozambique,4.466,0.204,0.986,0.39,0.494,0.197,0.138
123,124,Tunisia,4.461,0.921,1.0,0.815,0.167,0.059,0.055
124,125,Bangladesh,4.456,0.562,0.928,0.723,0.527,0.166,0.143
125,126,Iraq,4.437,1.043,0.98,0.574,0.241,0.148,0.089
126,127,Congo (Kinshasa),4.418,0.094,1.125,0.357,0.269,0.212,0.053
127,128,Mali,4.39,0.385,1.105,0.308,0.327,0.153,0.052
128,129,Sierra Leone,4.374,0.268,0.841,0.242,0.309,0.252,0.045
129,130,Sri Lanka,4.366,0.949,1.265,0.831,0.47,0.244,0.047
130,131,Myanmar,4.36,0.71,1.181,0.555,0.525,0.566,0.172
131,132,Chad,4.35,0.35,0.766,0.192,0.174,0.198,0.078
132,133,Ukraine,4.332,0.82,1.39,0.739,0.178,0.187,0.01
133,134,Ethiopia,4.286,0.336,1.033,0.532,0.344,0.209,0.1
134,135,Swaziland,4.212,0.811,1.149,0.0,0.313,0.074,0.135
135,136,Uganda,4.189,0.332,1.069,0.443,0.356,0.252,0.06
136,137,Egypt,4.166,0.913,1.039,0.644,0.241,0.076,0.067
137,138,Zambia,4.107,0.578,1.058,0.426,0.431,0.247,0.087
138,139,Togo,4.085,0.275,0.572,0.41,0.293,0.177,0.085
139,140,India,4.015,0.755,0.765,0.588,0.498,0.2,0.085
140,141,Liberia,3.975,0.073,0.922,0.443,0.37,0.233,0.033
141,142,Comoros,3.973,0.274,0.757,0.505,0.142,0.275,0.078
142,143,Madagascar,3.933,0.274,0.916,0.555,0.148,0.169,0.041
143,144,Lesotho,3.802,0.489,1.169,0.168,0.359,0.107,0.093
144,145,Burundi,3.775,0.046,0.447,0.38,0.22,0.176,0.18
145,146,Zimbabwe,3.663,0.366,1.114,0.433,0.361,0.151,0.089
146,147,Haiti,3.597,0.323,0.688,0.449,0.026,0.419,0.11
147,148,Botswana,3.488,1.041,1.145,0.538,0.455,0.025,0.1
148,149,Syria,3.462,0.619,0.378,0.44,0.013,0.331,0.141
149,150,Malawi,3.41,0.191,0.56,0.495,0.443,0.218,0.089
150,151,Yemen,3.38,0.287,1.163,0.463,0.143,0.108,0.077
151,152,Rwanda,3.334,0.359,0.711,0.614,0.555,0.217,0.411
152,153,Tanzania,3.231,0.476,0.885,0.499,0.417,0.276,0.147
153,154,Afghanistan,3.203,0.35,0.517,0.361,0.0,0.158,0.025
154,155,Central African Republic,3.083,0.026,0.0,0.105,0.225,0.235,0.035
155,156,South Sudan,2.853,0.306,0.575,0.295,0.01,0.202,0.091
