,Country,Sex,2016,2015,2010,2000
183,Gambia, Both sexes,10.0,10.1,10.0,12.3
184,Gambia, Male,12.8,12.9,12.7,14.6
185,Gambia, Female,7.3,7.4,7.3,10.1
186,Georgia, Both sexes,6.7,6.7,5.8,5.4
187,Georgia, Male,12.3,12.2,10.6,9.8
188,Georgia, Female,1.9,1.9,1.6,1.8
189,Germany, Both sexes,9.1,9.3,9.8,11.4
190,Germany, Male,13.6,13.9,15.3,18.0
191,Germany, Female,4.8,4.9,4.6,5.4
192,Ghana, Both sexes,8.7,8.6,7.8,7.2
193,Ghana, Male,15.8,15.6,14.1,11.6
194,Ghana, Female,2.9,2.9,2.9,2.9
195,Greece, Both sexes,3.8,3.6,2.6,2.9
196,Greece, Male,6.1,5.8,4.6,4.5
197,Greece, Female,1.5,1.5,0.6,1.2
198,Grenada, Both sexes,1.7,1.1,0.9,2.7
199,Grenada, Male,2.1,1.5,2.2,4.1
200,Grenada, Female,1.0,0.6,0.0,1.5
201,Guatemala, Both sexes,2.9,3.4,3.3,3.9
202,Guatemala, Male,4.4,5.0,5.4,6.5
203,Guatemala, Female,1.7,1.9,1.4,1.6
204,Guinea, Both sexes,10.5,10.7,11.2,10.6
205,Guinea, Male,12.7,12.9,13.7,12.3
206,Guinea, Female,8.4,8.7,8.7,9.1
207,Guinea-Bissau, Both sexes,7.4,7.3,7.9,9.2
208,Guinea-Bissau, Male,8.9,8.8,9.5,10.7
209,Guinea-Bissau, Female,6.1,6.0,6.4,7.9
210,Guyana, Both sexes,30.2,30.3,29.3,26.7
211,Guyana, Male,46.6,46.6,44.9,41.2
212,Guyana, Female,14.2,14.3,14.1,12.8
213,Haiti, Both sexes,12.2,12.2,10.9,10.3
214,Haiti, Male,18.3,18.5,16.5,16.3
215,Haiti, Female,6.4,6.4,5.7,4.8
216,Honduras, Both sexes,3.4,3.3,3.1,3.3
217,Honduras, Male,5.3,5.1,4.8,5.1
218,Honduras, Female,1.7,1.6,1.6,1.7
219,Hungary, Both sexes,13.6,14.7,19.5,26.1
220,Hungary, Male,22.2,24.3,33.2,43.9
221,Hungary, Female,6.2,6.6,7.8,10.6
222,Iceland, Both sexes,13.3,12.9,12.3,16.0
223,Iceland, Male,21.7,20.9,19.0,25.4
224,Iceland, Female,4.7,4.8,5.6,6.4
225,India, Both sexes,16.5,16.7,17.1,18.7
226,India, Male,18.5,18.8,19.1,21.3
227,India, Female,14.5,14.7,15.1,16.1
228,Indonesia, Both sexes,3.7,3.7,4.0,4.3
229,Indonesia, Male,5.2,5.3,5.6,5.9
230,Indonesia, Female,2.2,2.2,2.4,2.7
231,Iran (Islamic Republic of), Both sexes,4.0,4.0,5.9,10.7
232,Iran (Islamic Republic of), Male,4.9,4.9,7.9,12.5
233,Iran (Islamic Republic of), Female,3.1,3.0,3.9,8.8
234,Iraq, Both sexes,4.1,4.1,3.8,3.8
235,Iraq, Male,4.7,4.9,4.7,5.0
236,Iraq, Female,3.4,3.4,2.9,2.7
237,Ireland, Both sexes,10.9,10.8,11.3,11.8
238,Ireland, Male,17.6,17.6,17.6,19.3
239,Ireland, Female,4.2,4.2,5.0,4.4
240,Israel, Both sexes,5.2,4.8,7.2,7.4
241,Israel, Male,8.2,7.7,12.1,12.1
242,Israel, Female,2.4,2.1,2.5,3.0
243,Italy, Both sexes,5.5,5.3,5.2,5.8
244,Italy, Male,8.4,8.2,8.3,9.0
245,Italy, Female,2.6,2.5,2.3,2.8
246,Jamaica, Both sexes,2.0,2.0,2.0,2.5
247,Jamaica, Male,3.2,3.2,3.2,4.2
248,Jamaica, Female,0.9,0.9,0.9,0.8
249,Japan, Both sexes,14.3,15.1,19.0,18.8
250,Japan, Male,20.5,21.6,27.6,28.0
251,Japan, Female,8.1,8.6,10.4,9.9
252,Jordan, Both sexes,3.7,3.7,3.7,4.8
253,Jordan, Male,4.7,4.7,4.7,5.8
254,Jordan, Female,2.7,2.7,2.7,3.7
255,Kazakhstan, Both sexes,22.8,25.2,32.0,34.9
256,Kazakhstan, Male,40.1,44.2,56.1,63.1
257,Kazakhstan, Female,7.7,8.5,10.7,10.4
258,Kenya, Both sexes,5.6,5.5,5.7,8.2
259,Kenya, Male,9.7,9.4,9.5,13.2
260,Kenya, Female,2.1,2.1,2.3,3.6
261,Kiribati, Both sexes,15.2,15.3,15.3,15.6
262,Kiribati, Male,25.9,26.0,25.8,25.6
263,Kiribati, Female,5.4,5.5,5.8,6.5
264,Kuwait, Both sexes,2.2,2.2,1.5,1.6
265,Kuwait, Male,2.5,2.5,1.7,1.8
266,Kuwait, Female,1.7,1.7,1.1,1.4
267,Kyrgyzstan, Both sexes,9.1,8.8,11.9,15.4
268,Kyrgyzstan, Male,14.8,14.5,20.0,26.5
269,Kyrgyzstan, Female,3.7,3.5,4.4,5.4
270,Lao People's Democratic Republic, Both sexes,9.3,9.3,9.9,12.4
271,Lao People's Democratic Republic, Male,12.9,12.8,13.5,16.8
272,Lao People's Democratic Republic, Female,6.1,6.1,6.6,8.2
273,Latvia, Both sexes,17.2,17.3,18.8,29.7
274,Latvia, Male,31.0,30.9,35.8,54.3
275,Latvia, Female,5.1,5.3,4.2,9.5
276,Lebanon, Both sexes,3.2,3.3,3.2,3.2
277,Lebanon, Male,4.2,4.2,3.9,4.5
278,Lebanon, Female,2.2,2.3,2.4,2.1
279,Lesotho, Both sexes,28.9,28.5,27.6,26.8
280,Lesotho, Male,22.7,22.5,22.2,21.3
281,Lesotho, Female,32.6,32.1,31.0,30.2
282,Liberia, Both sexes,13.4,12.9,13.2,11.2
283,Liberia, Male,13.8,13.2,13.5,12.9
284,Liberia, Female,13.0,12.6,12.7,9.5
285,Libya, Both sexes,5.5,4.6,5.8,6.2
286,Libya, Male,8.7,7.1,9.1,9.1
287,Libya, Female,2.3,2.1,2.4,3.0
288,Lithuania, Both sexes,25.7,28.8,31.3,46.3
289,Lithuania, Male,47.5,51.5,56.4,81.7
290,Lithuania, Female,6.7,8.9,9.5,15.6
291,Luxembourg, Both sexes,10.4,11.6,10.3,14.1
292,Luxembourg, Male,15.0,17.4,15.3,20.6
293,Luxembourg, Female,5.8,5.7,5.2,8.2
294,Madagascar, Both sexes,6.9,7.0,7.7,8.5
295,Madagascar, Male,10.5,10.6,11.4,12.1
