,Country,Year,Mental _hospitals,health_units,outpatient _facilities,day _treatment,residential_facilities
0,Afghanistan,2016,0.003,0.012,0.006,,
1,Albania,2016,0.068,0.068,0.41,,0.445
2,Algeria,2016,0.048,0.068,0.048,,
3,Angola,2016,0.011,,,,0.014
4,Antigua and Barbuda,2016,1.001,,,,
5,Argentina,2016,0.937,1.071,1.72,,0.152
6,Armenia,2016,,0.069,1.371,0.034,
7,Azerbaijan,2016,0.114,0.021,0.156,0.094,0.031
8,Bangladesh,2016,0.001,0.035,0.055,,0.045
9,Belarus,2016,0.2,0.063,0.116,0.285,
10,Belize,2016,,1.948,2.227,0.278,0.278
11,Bhutan,2016,,0.127,3.556,,
12,Bolivia (Plurinational State of),2016,0.075,0.009,0.009,,
13,Brazil,2016,0.069,0.115,1.491,,0.267
14,Brunei Darussalam,2016,,0.479,2.634,0.718,0.479
15,Bulgaria,2016,0.167,0.307,0.307,5.935,1.783
16,Burkina Faso,2016,,0.287,,,
17,Cambodia,2016,,0.006,1.134,,
18,Chad,2016,,0.007,0.007,,
19,Chile,2016,0.023,0.175,0.839,0.315,1.171
20,Colombia,2016,1.988,0.222,0.292,,
21,Congo,2016,,0.04,0.02,,
22,Cook Islands,2016,,,5.731,5.731,5.731
23,Costa Rica,2016,0.042,0.042,1.706,0.125,0.042
24,Côte d'Ivoire,2016,0.009,0.013,0.017,0.022,
25,Croatia,2016,0.165,0.519,3.093,0.803,
26,Cuba,2016,0.166,0.148,2.932,0.445,1.213
27,Dominican Republic,2016,,0.076,1.748,0.019,
28,Ecuador,2016,0.025,0.173,0.242,3.01,
29,Egypt,2016,0.019,,0.031,0.011,
30,El Salvador,2016,0.032,0.253,0.729,,
31,Eritrea,2016,0.021,0.206,0.227,,
32,Estonia,2016,0.152,0.684,14.82,17.176,3.496
33,Fiji,2016,0.112,0.336,3.363,0.112,
34,Gabon,2016,0.052,,0.052,,
35,Georgia,2016,0.228,0.076,0.683,0.101,
36,Ghana,2016,0.011,1.095,2.378,0.018,0.015
