,Country,Year,Psychiatrists,Nurses,Social_workers,Psychologists
0,Afghanistan,2016,0.231,0.098,,0.296
1,Albania,2016,1.471,6.876,1.06,1.231
2,Angola,2016,0.057,0.66,0.022,0.179
3,Antigua and Barbuda,2016,1.001,7.005,4.003,
4,Argentina,2016,21.705,,,222.572
5,Armenia,2016,3.84,11.245,0.274,0.788
6,Azerbaijan,2016,3.452,6.717,0.114,1.165
7,Bangladesh,2016,0.13,0.873,,0.124
8,Belarus,2016,13.504,,,5.514
9,Belize,2016,1.392,3.34,,1.113
10,Bhutan,2016,0.508,0.127,,
11,Bolivia (Plurinational State of),2016,1.128,,,
12,Brazil,2016,3.165,34.948,6.608,12.368
13,Brunei Darussalam,2016,1.197,15.088,0.239,5.029
14,Bulgaria,2016,7.203,17.736,0.78,1.867
15,Burkina Faso,2016,0.039,0.635,0.011,0.022
16,Cambodia,2016,0.387,0.277,,7.089
17,Chad,2016,0.007,0.021,0.007,
18,Chile,2016,6.97,1.88,,
19,Colombia,2016,1.835,0.0,,
20,Congo,2016,0.08,0.5,0.02,0.02
21,Cook Islands,2016,5.731,11.462,17.193,11.462
22,Costa Rica,2016,3.931,5.699,76.957,142.018
23,Côte d'Ivoire,2016,0.13,0.381,,
24,Croatia,2016,11.095,41.856,1.298,4.367
25,Cuba,2016,9.056,8.899,1.335,31.061
26,Dominican Republic,2016,2.28,,0.294,7.598
27,Ecuador,2016,0.458,0.056,0.019,7.662
28,Egypt,2016,1.6,4.799,0.448,0.256
29,El Salvador,2016,0.887,,0.301,2.075
30,Eritrea,2016,,2.166,0.041,0.083
31,Estonia,2016,16.188,23.484,0.532,6.46
32,Fiji,2016,0.224,1.457,0.56,0.56
33,Gabon,2016,0.259,0.518,0.104,0.777
34,Gambia,2016,0.101,0.303,0.101,
