,Entity,Code,Year,DALYs (Disability-Adjusted Life Years) - Mental disorders - Sex: Both - Age: All Ages (Percent)
4560,Papua New Guinea,PNG,1990,2.36371434694616
4561,Papua New Guinea,PNG,1991,2.33867976057138
4562,Papua New Guinea,PNG,1992,2.3666758587392
4563,Papua New Guinea,PNG,1993,2.39138392235912
4564,Papua New Guinea,PNG,1994,2.4195056343529897
4565,Papua New Guinea,PNG,1995,2.44669765165557
4566,Papua New Guinea,PNG,1996,2.48164379823208
4567,Papua New Guinea,PNG,1997,2.50400278979062
4568,Papua New Guinea,PNG,1998,2.36797082532487
4569,Papua New Guinea,PNG,1999,2.50308583663624
4570,Papua New Guinea,PNG,2000,2.50322395309706
4571,Papua New Guinea,PNG,2001,2.49408973508679
4572,Papua New Guinea,PNG,2002,2.4797286509816803
4573,Papua New Guinea,PNG,2003,2.47590818194356
4574,Papua New Guinea,PNG,2004,2.47237805164485
4575,Papua New Guinea,PNG,2005,2.48444010954321
4576,Papua New Guinea,PNG,2006,2.50098098683754
4577,Papua New Guinea,PNG,2007,2.52486898767628
4578,Papua New Guinea,PNG,2008,2.55907769300145
4579,Papua New Guinea,PNG,2009,2.57363223643699
4580,Papua New Guinea,PNG,2010,2.61318254625203
4581,Papua New Guinea,PNG,2011,2.6515609314069097
4582,Papua New Guinea,PNG,2012,2.67826733191314
4583,Papua New Guinea,PNG,2013,2.73943072352277
4584,Papua New Guinea,PNG,2014,2.78870671938838
4585,Papua New Guinea,PNG,2015,2.82263123790792
4586,Papua New Guinea,PNG,2016,2.84893348839877
4587,Papua New Guinea,PNG,2017,2.88118191228568
4588,Papua New Guinea,PNG,2018,2.90928048132206
4589,Papua New Guinea,PNG,2019,2.9524691169812
4590,Paraguay,PRY,1990,6.27478333576514
4591,Paraguay,PRY,1991,6.51778472503404
4592,Paraguay,PRY,1992,6.503938580049439
4593,Paraguay,PRY,1993,6.558676217041199
4594,Paraguay,PRY,1994,6.644566570424599
4595,Paraguay,PRY,1995,6.65010068560436
4596,Paraguay,PRY,1996,6.69444927716463
4597,Paraguay,PRY,1997,6.87552077055379
