,Entity,Code,Year,Prevalence - Depressive disorders - Sex: Male - Age: Age-standardized (Percent),Prevalence - Depressive disorders - Sex: Female - Age: Age-standardized (Percent),Population (historical estimates),Continent
37596,Oman,OMN,1940,,,440760.0,
37597,Oman,OMN,1941,,,441816.0,
37598,Oman,OMN,1942,,,442874.0,
37599,Oman,OMN,1943,,,443935.0,
37600,Oman,OMN,1944,,,444999.0,
37601,Oman,OMN,1945,,,446064.0,
37602,Oman,OMN,1946,,,447133.0,
37603,Oman,OMN,1947,,,448204.0,
37604,Oman,OMN,1948,,,449277.0,
37605,Oman,OMN,1949,,,452000.0,
37606,Oman,OMN,1950,,,456410.0,
37607,Oman,OMN,1951,,,462255.0,
37608,Oman,OMN,1952,,,469346.0,
37609,Oman,OMN,1953,,,477443.0,
37610,Oman,OMN,1954,,,486315.0,
37611,Oman,OMN,1955,,,495825.0,
37612,Oman,OMN,1956,,,505888.0,
37613,Oman,OMN,1957,,,516467.0,
37614,Oman,OMN,1958,,,527591.0,
37615,Oman,OMN,1959,,,539320.0,
37616,Oman,OMN,1960,,,551735.0,
37617,Oman,OMN,1961,,,564891.0,
37618,Oman,OMN,1962,,,578827.0,
37619,Oman,OMN,1963,,,593498.0,
37620,Oman,OMN,1964,,,608890.0,
37621,Oman,OMN,1965,,,625006.0,
37622,Oman,OMN,1966,,,642007.0,
37623,Oman,OMN,1967,,,660117.0,
37624,Oman,OMN,1968,,,679592.0,
37625,Oman,OMN,1969,,,700725.0,
37626,Oman,OMN,1970,,,723842.0,
37627,Oman,OMN,1971,,,748968.0,
37628,Oman,OMN,1972,,,776385.0,
37629,Oman,OMN,1973,,,806985.0,
37630,Oman,OMN,1974,,,841952.0,
37631,Oman,OMN,1975,,,882038.0,
37632,Oman,OMN,1976,,,927434.0,
37633,Oman,OMN,1977,,,977804.0,
37634,Oman,OMN,1978,,,1032797.0,
37635,Oman,OMN,1979,,,1091858.0,
37636,Oman,OMN,1980,,,1154373.0,
37637,Oman,OMN,1981,,,1220578.0,
37638,Oman,OMN,1982,,,1290121.0,
37639,Oman,OMN,1983,,,1361085.0,
37640,Oman,OMN,1984,,,1431066.0,
37641,Oman,OMN,1985,,,1498413.0,
37642,Oman,OMN,1986,,,1561180.0,
37643,Oman,OMN,1987,,,1619871.0,
37644,Oman,OMN,1988,,,1678119.0,
37645,Oman,OMN,1989,,,1741155.0,
37646,Oman,OMN,2020,,,5106622.0,
37647,Oman,OMN,2021,,,5223376.0,
37648,Pakistan,PAK,1990,3.23986563903019,5.113664526557,107647918.0,
37649,Pakistan,PAK,1991,3.2343326762424303,5.04154214517164,110778655.0,
37650,Pakistan,PAK,1992,3.22762799712035,4.98543511632166,113911126.0,
37651,Pakistan,PAK,1993,3.2204279906384805,4.94516158856194,117086680.0,
37652,Pakistan,PAK,1994,3.21236755172008,4.92079053232116,120362764.0,
37653,Pakistan,PAK,1995,3.20297941752052,4.91173846684021,123776835.0,
37654,Pakistan,PAK,1996,3.1892309744269904,4.93231307146869,127349293.0,
37655,Pakistan,PAK,1997,3.16575013982438,4.98497462258062,131057432.0,
37656,Pakistan,PAK,1998,3.1394040094454496,5.04728348547528,134843233.0,
37657,Pakistan,PAK,1999,3.11473658606777,5.10223395789316,138624625.0,
37658,Pakistan,PAK,2000,3.0995401992908898,5.12894524281401,142343583.0,
37659,Pakistan,PAK,2001,3.09078926915513,5.1384259102606,145978408.0,
37660,Pakistan,PAK,2002,3.0825417813702,5.14735969025367,149549695.0,
37661,Pakistan,PAK,2003,3.07432078122617,5.15508916183473,153093371.0,
37662,Pakistan,PAK,2004,3.0651748394473097,5.16126803490765,156664698.0,
37663,Pakistan,PAK,2005,3.0546205277358003,5.16531095714633,160304007.0,
37664,Pakistan,PAK,2006,3.03515951568034,5.15693417815937,164022626.0,
37665,Pakistan,PAK,2007,3.0063413149408,5.13115369358786,167808106.0,
37666,Pakistan,PAK,2008,2.97602617663598,5.095967136407769,171648984.0,
37667,Pakistan,PAK,2009,2.95204991419565,5.0635603199658,175525610.0,
37668,Pakistan,PAK,2010,2.94249144587711,5.03404028148588,179424643.0,
37669,Pakistan,PAK,2011,2.95707901909123,5.00434555704304,183340168.0,
37670,Pakistan,PAK,2012,2.99569662191834,4.9667437744040495,187280125.0,
37671,Pakistan,PAK,2013,3.04097891300622,4.92912945569409,191260799.0,
37672,Pakistan,PAK,2014,3.08172980816908,4.90106190694758,195305012.0,
37673,Pakistan,PAK,2015,3.09862676312127,4.89053606376196,199426953.0,Asia
37674,Pakistan,PAK,2016,3.089321476378,4.88927982922467,203631356.0,
37675,Pakistan,PAK,2017,3.08100478227735,4.89697096860547,207906210.0,
37676,Pakistan,PAK,2018,3.100172526683,4.95847813819491,212228288.0,
37677,Pakistan,PAK,2019,3.14337538424698,5.07709922108621,216565317.0,
37678,Pakistan,PAK,-10000,,,8500.0,
37679,Pakistan,PAK,-9000,,,29124.0,
37680,Pakistan,PAK,-8000,,,48540.0,
37681,Pakistan,PAK,-7000,,,80901.0,
37682,Pakistan,PAK,-6000,,,134835.0,
37683,Pakistan,PAK,-5000,,,224726.0,
37684,Pakistan,PAK,-4000,,,374544.0,
37685,Pakistan,PAK,-3000,,,624241.0,
37686,Pakistan,PAK,-2000,,,1040402.0,
37687,Pakistan,PAK,-1000,,,1733998.0,
37688,Pakistan,PAK,0,,,2889996.0,
37689,Pakistan,PAK,100,,,3102494.0,
37690,Pakistan,PAK,200,,,3314999.0,
37691,Pakistan,PAK,300,,,3569998.0,
37692,Pakistan,PAK,400,,,3824996.0,
37693,Pakistan,PAK,500,,,4080007.0,
37694,Pakistan,PAK,600,,,4335006.0,
37695,Pakistan,PAK,700,,,4802498.0,
37696,Pakistan,PAK,800,,,5270002.0,
37697,Pakistan,PAK,900,,,5907496.0,
37698,Pakistan,PAK,1000,,,6544995.0,
37699,Pakistan,PAK,1100,,,6799986.0,
37700,Pakistan,PAK,1200,,,7055010.0,
37701,Pakistan,PAK,1300,,,7055010.0,
37702,Pakistan,PAK,1400,,,7990016.0,
37703,Pakistan,PAK,1500,,,8499982.0,
37704,Pakistan,PAK,1600,,,11049964.0,
37705,Pakistan,PAK,1700,,,13599971.0,
37706,Pakistan,PAK,1710,,,13739416.0,
37707,Pakistan,PAK,1720,,,14019782.0,
37708,Pakistan,PAK,1730,,,14305897.0,
37709,Pakistan,PAK,1740,,,14597840.0,
37710,Pakistan,PAK,1750,,,14895715.0,
37711,Pakistan,PAK,1760,,,15199720.0,
37712,Pakistan,PAK,1770,,,15509988.0,
37713,Pakistan,PAK,1780,,,15826502.0,
37714,Pakistan,PAK,1790,,,16149458.0,
37715,Pakistan,PAK,1800,,,13119841.0,
37716,Pakistan,PAK,1801,,,13145712.0,
37717,Pakistan,PAK,1802,,,13171633.0,
37718,Pakistan,PAK,1803,,,13197606.0,
37719,Pakistan,PAK,1804,,,13223629.0,
37720,Pakistan,PAK,1805,,,13249704.0,
37721,Pakistan,PAK,1806,,,13275830.0,
37722,Pakistan,PAK,1807,,,13302008.0,
37723,Pakistan,PAK,1808,,,13328238.0,
37724,Pakistan,PAK,1809,,,13354519.0,
37725,Pakistan,PAK,1810,,,13381804.0,
37726,Pakistan,PAK,1811,,,13409050.0,
37727,Pakistan,PAK,1812,,,13437210.0,
37728,Pakistan,PAK,1813,,,13466291.0,
37729,Pakistan,PAK,1814,,,13496296.0,
37730,Pakistan,PAK,1815,,,13527230.0,
37731,Pakistan,PAK,1816,,,13559098.0,
37732,Pakistan,PAK,1817,,,13591905.0,
37733,Pakistan,PAK,1818,,,13625655.0,
37734,Pakistan,PAK,1819,,,13660353.0,
37735,Pakistan,PAK,1820,,,13696004.0,
37736,Pakistan,PAK,1821,,,13718580.0,
37737,Pakistan,PAK,1822,,,13741205.0,
37738,Pakistan,PAK,1823,,,13786457.0,
37739,Pakistan,PAK,1824,,,13831857.0,
37740,Pakistan,PAK,1825,,,13877407.0,
37741,Pakistan,PAK,1826,,,13923107.0,
37742,Pakistan,PAK,1827,,,13968957.0,
37743,Pakistan,PAK,1828,,,14014958.0,
37744,Pakistan,PAK,1829,,,14061111.0,
37745,Pakistan,PAK,1830,,,14107416.0,
37746,Pakistan,PAK,1831,,,14153873.0,
37747,Pakistan,PAK,1832,,,14200484.0,
37748,Pakistan,PAK,1833,,,14247248.0,
37749,Pakistan,PAK,1834,,,14294165.0,
37750,Pakistan,PAK,1835,,,14341238.0,
37751,Pakistan,PAK,1836,,,14388465.0,
37752,Pakistan,PAK,1837,,,14435848.0,
37753,Pakistan,PAK,1838,,,14483387.0,
37754,Pakistan,PAK,1839,,,14531082.0,
37755,Pakistan,PAK,1840,,,14578935.0,
37756,Pakistan,PAK,1841,,,14626945.0,
37757,Pakistan,PAK,1842,,,14675113.0,
37758,Pakistan,PAK,1843,,,14723440.0,
37759,Pakistan,PAK,1844,,,14771926.0,
37760,Pakistan,PAK,1845,,,14820571.0,
37761,Pakistan,PAK,1846,,,14869377.0,
37762,Pakistan,PAK,1847,,,14918344.0,
37763,Pakistan,PAK,1848,,,14967472.0,
37764,Pakistan,PAK,1849,,,15016761.0,
37765,Pakistan,PAK,1850,,,15066213.0,
37766,Pakistan,PAK,1851,,,15104030.0,
37767,Pakistan,PAK,1852,,,15141933.0,
