,Entity,Code,Year,Prevalence - Mental and substance use disorders - Sex: Male - Age: Age-standardized (Percent),Prevalence - Mental and substance use disorders - Sex: Female - Age: Age-standardized (Percent),Population (historical estimates),Continent
37752,Oman,OMN,1842,,,338700.0,
37753,Oman,OMN,1843,,,339673.0,
37754,Oman,OMN,1844,,,340648.0,
37755,Oman,OMN,1845,,,341625.0,
37756,Oman,OMN,1846,,,342606.0,
37757,Oman,OMN,1847,,,343589.0,
37758,Oman,OMN,1848,,,344576.0,
37759,Oman,OMN,1849,,,345565.0,
37760,Oman,OMN,1850,,,346557.0,
37761,Oman,OMN,1851,,,347157.0,
37762,Oman,OMN,1852,,,347758.0,
37763,Oman,OMN,1853,,,348359.0,
37764,Oman,OMN,1854,,,348961.0,
37765,Oman,OMN,1855,,,349563.0,
37766,Oman,OMN,1856,,,350167.0,
37767,Oman,OMN,1857,,,350770.0,
37768,Oman,OMN,1858,,,351375.0,
37769,Oman,OMN,1859,,,351980.0,
37770,Oman,OMN,1860,,,352585.0,
37771,Oman,OMN,1861,,,353191.0,
37772,Oman,OMN,1862,,,353798.0,
37773,Oman,OMN,1863,,,354405.0,
37774,Oman,OMN,1864,,,355013.0,
37775,Oman,OMN,1865,,,355621.0,
37776,Oman,OMN,1866,,,356230.0,
37777,Oman,OMN,1867,,,356839.0,
37778,Oman,OMN,1868,,,357449.0,
37779,Oman,OMN,1869,,,358060.0,
37780,Oman,OMN,1870,,,358672.0,
37781,Oman,OMN,1871,,,359285.0,
37782,Oman,OMN,1872,,,359898.0,
37783,Oman,OMN,1873,,,360512.0,
37784,Oman,OMN,1874,,,361127.0,
37785,Oman,OMN,1875,,,361742.0,
37786,Oman,OMN,1876,,,362358.0,
37787,Oman,OMN,1877,,,362975.0,
37788,Oman,OMN,1878,,,363592.0,
37789,Oman,OMN,1879,,,364209.0,
37790,Oman,OMN,1880,,,364827.0,
37791,Oman,OMN,1881,,,365446.0,
37792,Oman,OMN,1882,,,366065.0,
37793,Oman,OMN,1883,,,366685.0,
37794,Oman,OMN,1884,,,367305.0,
37795,Oman,OMN,1885,,,367926.0,
37796,Oman,OMN,1886,,,368547.0,
37797,Oman,OMN,1887,,,369169.0,
37798,Oman,OMN,1888,,,369792.0,
37799,Oman,OMN,1889,,,370415.0,
37800,Oman,OMN,1890,,,371038.0,
37801,Oman,OMN,1891,,,371662.0,
37802,Oman,OMN,1892,,,372286.0,
37803,Oman,OMN,1893,,,372911.0,
37804,Oman,OMN,1894,,,373537.0,
37805,Oman,OMN,1895,,,374163.0,
37806,Oman,OMN,1896,,,374790.0,
37807,Oman,OMN,1897,,,375417.0,
37808,Oman,OMN,1898,,,376044.0,
37809,Oman,OMN,1899,,,377248.0,
37810,Oman,OMN,1900,,,379033.0,
37811,Oman,OMN,1901,,,381405.0,
37812,Oman,OMN,1902,,,384370.0,
37813,Oman,OMN,1903,,,387934.0,
37814,Oman,OMN,1904,,,391530.0,
37815,Oman,OMN,1905,,,395159.0,
37816,Oman,OMN,1906,,,398821.0,
37817,Oman,OMN,1907,,,402516.0,
37818,Oman,OMN,1908,,,406246.0,
37819,Oman,OMN,1909,,,409338.0,
37820,Oman,OMN,1910,,,411787.0,
37821,Oman,OMN,1911,,,413588.0,
37822,Oman,OMN,1912,,,414735.0,
37823,Oman,OMN,1913,,,415220.0,
37824,Oman,OMN,1914,,,415706.0,
37825,Oman,OMN,1915,,,416192.0,
37826,Oman,OMN,1916,,,416677.0,
37827,Oman,OMN,1917,,,417163.0,
37828,Oman,OMN,1918,,,418162.0,
37829,Oman,OMN,1919,,,419164.0,
37830,Oman,OMN,1920,,,420168.0,
37831,Oman,OMN,1921,,,421174.0,
37832,Oman,OMN,1922,,,422183.0,
37833,Oman,OMN,1923,,,423194.0,
37834,Oman,OMN,1924,,,424208.0,
37835,Oman,OMN,1925,,,425224.0,
37836,Oman,OMN,1926,,,426242.0,
37837,Oman,OMN,1927,,,427263.0,
37838,Oman,OMN,1928,,,428287.0,
37839,Oman,OMN,1929,,,429313.0,
37840,Oman,OMN,1930,,,430341.0,
37841,Oman,OMN,1931,,,431372.0,
37842,Oman,OMN,1932,,,432405.0,
37843,Oman,OMN,1933,,,433441.0,
37844,Oman,OMN,1934,,,434479.0,
37845,Oman,OMN,1935,,,435520.0,
37846,Oman,OMN,1936,,,436563.0,
37847,Oman,OMN,1937,,,437608.0,
37848,Oman,OMN,1938,,,438657.0,
37849,Oman,OMN,1939,,,439707.0,
37850,Oman,OMN,1940,,,440760.0,
37851,Oman,OMN,1941,,,441816.0,
37852,Oman,OMN,1942,,,442874.0,
37853,Oman,OMN,1943,,,443935.0,
37854,Oman,OMN,1944,,,444999.0,
37855,Oman,OMN,1945,,,446064.0,
37856,Oman,OMN,1946,,,447133.0,
37857,Oman,OMN,1947,,,448204.0,
37858,Oman,OMN,1948,,,449277.0,
37859,Oman,OMN,1949,,,452000.0,
37860,Oman,OMN,1950,,,456410.0,
37861,Oman,OMN,1951,,,462255.0,
37862,Oman,OMN,1952,,,469346.0,
37863,Oman,OMN,1953,,,477443.0,
37864,Oman,OMN,1954,,,486315.0,
37865,Oman,OMN,1955,,,495825.0,
37866,Oman,OMN,1956,,,505888.0,
37867,Oman,OMN,1957,,,516467.0,
37868,Oman,OMN,1958,,,527591.0,
37869,Oman,OMN,1959,,,539320.0,
37870,Oman,OMN,1960,,,551735.0,
37871,Oman,OMN,1961,,,564891.0,
37872,Oman,OMN,1962,,,578827.0,
37873,Oman,OMN,1963,,,593498.0,
37874,Oman,OMN,1964,,,608890.0,
37875,Oman,OMN,1965,,,625006.0,
37876,Oman,OMN,1966,,,642007.0,
37877,Oman,OMN,1967,,,660117.0,
37878,Oman,OMN,1968,,,679592.0,
37879,Oman,OMN,1969,,,700725.0,
37880,Oman,OMN,1970,,,723842.0,
37881,Oman,OMN,1971,,,748968.0,
37882,Oman,OMN,1972,,,776385.0,
37883,Oman,OMN,1973,,,806985.0,
37884,Oman,OMN,1974,,,841952.0,
37885,Oman,OMN,1975,,,882038.0,
37886,Oman,OMN,1976,,,927434.0,
37887,Oman,OMN,1977,,,977804.0,
37888,Oman,OMN,1978,,,1032797.0,
37889,Oman,OMN,1979,,,1091858.0,
37890,Oman,OMN,1980,,,1154373.0,
37891,Oman,OMN,1981,,,1220578.0,
37892,Oman,OMN,1982,,,1290121.0,
37893,Oman,OMN,1983,,,1361085.0,
37894,Oman,OMN,1984,,,1431066.0,
37895,Oman,OMN,1985,,,1498413.0,
37896,Oman,OMN,1986,,,1561180.0,
37897,Oman,OMN,1987,,,1619871.0,
37898,Oman,OMN,1988,,,1678119.0,
37899,Oman,OMN,1989,,,1741155.0,
37900,Oman,OMN,2018,,,4829476.0,
37901,Oman,OMN,2019,,,4974992.0,
37902,Oman,OMN,2020,,,5106622.0,
37903,Oman,OMN,2021,,,5223376.0,
37904,Pakistan,PAK,1990,12.1905965241,12.9234606379,107647918.0,
37905,Pakistan,PAK,1991,12.1423937763,12.9367545344,110778655.0,
37906,Pakistan,PAK,1992,12.0999223535,12.952823168300002,113911126.0,
37907,Pakistan,PAK,1993,12.058393912900002,12.9634364984,117086680.0,
37908,Pakistan,PAK,1994,12.0171345831,12.9669389003,120362764.0,
37909,Pakistan,PAK,1995,11.9817459283,12.9530268892,123776835.0,
37910,Pakistan,PAK,1996,11.9505683548,12.9511108636,127349293.0,
37911,Pakistan,PAK,1997,11.9194332493,12.9383741303,131057432.0,
37912,Pakistan,PAK,1998,11.8861048352,12.9231590403,134843233.0,
37913,Pakistan,PAK,1999,11.8608100347,12.9124987743,138624625.0,
37914,Pakistan,PAK,2000,11.8347937793,12.9031606582,142343583.0,
37915,Pakistan,PAK,2001,11.8202328788,12.896759331499998,145978408.0,
37916,Pakistan,PAK,2002,11.8084921599,12.8914748048,149549695.0,
37917,Pakistan,PAK,2003,11.8046903026,12.8892032205,153093371.0,
37918,Pakistan,PAK,2004,11.804510533,12.8840214879,156664698.0,
37919,Pakistan,PAK,2005,11.793938965,12.8780624159,160304007.0,
37920,Pakistan,PAK,2006,11.7838928792,12.8357825273,164022626.0,
37921,Pakistan,PAK,2007,11.769139685,12.751791657299998,167808106.0,
37922,Pakistan,PAK,2008,11.7639044855,12.6524942614,171648984.0,
37923,Pakistan,PAK,2009,11.752580307,12.569943191,175525610.0,
37924,Pakistan,PAK,2010,11.739135791,12.526668615,179424643.0,
37925,Pakistan,PAK,2011,11.7187904675,12.5092697933,183340168.0,
37926,Pakistan,PAK,2012,11.6950986275,12.4923199146,187280125.0,
37927,Pakistan,PAK,2013,11.6715180026,12.4746344929,191260799.0,
37928,Pakistan,PAK,2014,11.6372990228,12.4583573668,195305012.0,
37929,Pakistan,PAK,2015,11.6049599333,12.4439019055,199426953.0,Asia
37930,Pakistan,PAK,2016,11.5625243793,12.4323585503,203631356.0,
37931,Pakistan,PAK,2017,11.5220936791,12.4289504973,207906210.0,
37932,Pakistan,PAK,-10000,,,8500.0,
37933,Pakistan,PAK,-9000,,,29124.0,
37934,Pakistan,PAK,-8000,,,48540.0,
37935,Pakistan,PAK,-7000,,,80901.0,
37936,Pakistan,PAK,-6000,,,134835.0,
37937,Pakistan,PAK,-5000,,,224726.0,
37938,Pakistan,PAK,-4000,,,374544.0,
37939,Pakistan,PAK,-3000,,,624241.0,
37940,Pakistan,PAK,-2000,,,1040402.0,
37941,Pakistan,PAK,-1000,,,1733998.0,
37942,Pakistan,PAK,0,,,2889996.0,
37943,Pakistan,PAK,100,,,3102494.0,
37944,Pakistan,PAK,200,,,3314999.0,
37945,Pakistan,PAK,300,,,3569998.0,
37946,Pakistan,PAK,400,,,3824996.0,
37947,Pakistan,PAK,500,,,4080007.0,
37948,Pakistan,PAK,600,,,4335006.0,
37949,Pakistan,PAK,700,,,4802498.0,
37950,Pakistan,PAK,800,,,5270002.0,
37951,Pakistan,PAK,900,,,5907496.0,
37952,Pakistan,PAK,1000,,,6544995.0,
37953,Pakistan,PAK,1100,,,6799986.0,
37954,Pakistan,PAK,1200,,,7055010.0,
37955,Pakistan,PAK,1300,,,7055010.0,
37956,Pakistan,PAK,1400,,,7990016.0,
37957,Pakistan,PAK,1500,,,8499982.0,
37958,Pakistan,PAK,1600,,,11049964.0,
37959,Pakistan,PAK,1700,,,13599971.0,
37960,Pakistan,PAK,1710,,,13739416.0,
37961,Pakistan,PAK,1720,,,14019782.0,
37962,Pakistan,PAK,1730,,,14305897.0,
37963,Pakistan,PAK,1740,,,14597840.0,
